epoch[0],train_loss[2.89099318224241],test_loss[2.8891359207058493],accuracy[9.359190556492411]

epoch[1],train_loss[2.867579797724007],test_loss[2.808347671395737],accuracy[11.107988258072576]

epoch[2],train_loss[2.7192474501161623],test_loss[2.620741682685179],accuracy[18.365498719630253]

epoch[3],train_loss[2.5735090310003987],test_loss[2.5307285132559136],accuracy[20.92623821122978]

epoch[4],train_loss[2.491760783819054],test_loss[2.4659298118351622],accuracy[22.76247579788895]

epoch[5],train_loss[2.4297363567769157],test_loss[2.42526047946467],accuracy[23.59315470613953]

epoch[6],train_loss[2.3798509120420084],test_loss[2.3889543738551904],accuracy[24.70489038785835]

epoch[7],train_loss[2.335075116890765],test_loss[2.3538410304584567],accuracy[25.779151833114735]

epoch[8],train_loss[2.300478551253423],test_loss[2.3225927627940632],accuracy[26.731622009868214]

epoch[9],train_loss[2.26828222037317],test_loss[2.3175819125928063],accuracy[27.25001561426519]

epoch[10],train_loss[2.2410312642712196],test_loss[2.279732994193118],accuracy[27.983886078321156]

epoch[11],train_loss[2.21964031679918],test_loss[2.2778053387630055],accuracy[28.327399912560114]

epoch[12],train_loss[2.196140023179051],test_loss[2.2630585623475437],accuracy[28.570982449565925]

epoch[13],train_loss[2.1780395616792507],test_loss[2.254438406269597],accuracy[28.830179251764413]

epoch[14],train_loss[2.158884746971156],test_loss[2.2431151743318174],accuracy[29.1674473799263]

epoch[15],train_loss[2.138357282105461],test_loss[2.2317438665704152],accuracy[29.560926862781837]

epoch[16],train_loss[2.123000673866361],test_loss[2.236582066414023],accuracy[29.326712884891638]

epoch[17],train_loss[2.107884654577201],test_loss[2.222932322647293],accuracy[29.898194990943725]

epoch[18],train_loss[2.091570243315859],test_loss[2.2140823795439397],accuracy[29.757666604209607]

epoch[19],train_loss[2.076610769768712],test_loss[2.212859366985586],accuracy[30.123040409718318]

epoch[20],train_loss[2.059109440806158],test_loss[2.207614925872467],accuracy[30.422834301417776]

epoch[21],train_loss[2.0426812859450503],test_loss[2.2139969067141414],accuracy[30.3728686528012]

epoch[22],train_loss[2.0306825539904105],test_loss[2.208682293448455],accuracy[30.41034288926363]

epoch[23],train_loss[2.0171279919136946],test_loss[2.205720538284738],accuracy[30.572731247267505]

epoch[24],train_loss[2.0009671231453106],test_loss[2.216382203114918],accuracy[30.869402285928423]

epoch[25],train_loss[1.9865281956646317],test_loss[2.2118077502990157],accuracy[30.603959777652864]

epoch[26],train_loss[1.973259549388567],test_loss[2.2014352802512245],accuracy[30.766348135656735]

epoch[27],train_loss[1.961446880895997],test_loss[2.2147615166013033],accuracy[30.46655424395728]

epoch[28],train_loss[1.9461198545478662],test_loss[2.2081338666855497],accuracy[31.025544937855223]

epoch[29],train_loss[1.9330874930039996],test_loss[2.224822052503003],accuracy[31.112984822934234]

epoch[30],train_loss[1.9203113558265466],test_loss[2.224063208247473],accuracy[31.17856473674349]

epoch[31],train_loss[1.9060028782829805],test_loss[2.2271137636029947],accuracy[30.894385110236712]

epoch[32],train_loss[1.891243806980574],test_loss[2.228839702545446],accuracy[30.785085253887953]

epoch[33],train_loss[1.880444655004262],test_loss[2.2305717809710597],accuracy[30.853788020735745]

epoch[34],train_loss[1.8677120113916215],test_loss[2.2288641962684315],accuracy[31.084879145587408]

epoch[35],train_loss[1.8560044984288486],test_loss[2.24051425543517],accuracy[31.094247704703015]

epoch[36],train_loss[1.8418096735753247],test_loss[2.2614846354339164],accuracy[31.103616263818626]

epoch[37],train_loss[1.8291978034751313],test_loss[2.251585800742591],accuracy[31.141090500281056]

epoch[38],train_loss[1.8139268644060633],test_loss[2.2605070358257544],accuracy[30.81943663731185]

epoch[39],train_loss[1.802802254670169],test_loss[2.2629722600932958],accuracy[31.05052776216351]

epoch[40],train_loss[1.7910143704135715],test_loss[2.270511558847926],accuracy[30.625819748922616]

epoch[41],train_loss[1.7764075225626708],test_loss[2.2904600681054528],accuracy[30.7632252826182]

